  PWAT-PARM3
*** < PLS>    PETMAX    PETMIN    INFEXP    INFILD    DEEPFR    BASETP    AGWETP
*** x  - x   (deg F)   (deg F)
***<IHM_PWAT_PARM3>
  323             40        35     3.100         2      1.00         0         0
  325             40        35     3.100         2      1.00         0         0
  331             40        35     3.100         2      1.00         0         0
  332             40        35     3.100         2      1.00         0         0
  333             40        35     3.100         2      1.00         0         0
  334             40        35     3.100         2      1.00         0         0
  335             40        35     3.100         2      1.00         0         0
  341             40        35     3.809         2      1.00         0         0
  342             40        35     3.809         2      1.00         0         0
  343             40        35     3.809         2      1.00         0         0
  344             40        35     3.809         2      1.00         0         0
  345             40        35     3.809         2      1.00         0         0
  351             40        35     3.809         2      1.00         0         0
  352             40        35     3.809         2      1.00         0         0
  353             40        35     3.809         2      1.00         0         0
  354             40        35     3.809         2      1.00         0         0
  355             40        35     3.809         2      1.00         0         0
  361             40        35     3.809         2      1.00         0         0
  362             40        35     3.809         2      1.00         0         0
  363             40        35     3.809         2      1.00         0         0
  365             40        35     3.809         2      1.00         0         0
  371             40        35     3.809         2      1.00         0         0
  372             40        35     3.809         2      1.00         0         0
  373             40        35     3.809         2      1.00         0         0
  374             40        35     3.809         2      1.00         0         0
  375             40        35     3.809         2      1.00         0         0
  381             40        35     3.809         2      1.00         0         0
  382             40        35     3.809         2      1.00         0         0
  383             40        35     3.809         2      1.00         0         0
  385             40        35     3.809         2      1.00         0         0
  391             40        35     3.809         2      1.00         0         0
  392             40        35     3.809         2      1.00         0         0
  393             40        35     3.809         2      1.00         0         0
  394             40        35     3.809         2      1.00         0         0
  395             40        35     3.809         2      1.00         0         0
  401             40        35     2.000         2      1.00         0         0
  402             40        35     2.000         2      1.00         0         0
  403             40        35     2.000         2      1.00         0         0
  405             40        35     2.000         2      1.00         0         0
  411             40        35     2.000         2      1.00         0         0
  412             40        35     2.000         2      1.00         0         0
  413             40        35     2.000         2      1.00         0         0
  414             40        35     2.000         2      1.00         0         0
  415             40        35     2.000         2      1.00         0         0
  421             40        35     2.000         2      1.00         0         0
  422             40        35     2.000         2      1.00         0         0
  423             40        35     2.000         2      1.00         0         0
  424             40        35     2.000         2      1.00         0         0
  425             40        35     2.000         2      1.00         0         0
  501             40        35     2.000         2      1.00         0         0
  502             40        35     2.000         2      1.00         0         0
  503             40        35     2.000         2      1.00         0         0
  504             40        35     2.000         2      1.00         0         0
  505             40        35     2.000         2      1.00         0         0
  711             40        35     7.040         2      1.00         0         0
  712             40        35     7.040         2      1.00         0         0
  713             40        35     7.040         2      1.00         0         0
  811             40        35     2.000         2      1.00         0         0
  812             40        35     2.000         2      1.00         0         0
  813             40        35     2.000         2      1.00         0         0
  814             40        35     2.000         2      1.00         0         0
  815             40        35     2.000         2      1.00         0         0
  821             40        35     2.000         2      1.00         0         0
  822             40        35     2.000         2      1.00         0         0
  823             40        35     2.000         2      1.00         0         0
  824             40        35     2.000         2      1.00         0         0
  825             40        35     2.000         2      1.00         0         0
  831             40        35     2.000         2      1.00         0         0
  832             40        35     2.000         2      1.00         0         0
  833             40        35     2.000         2      1.00         0         0
  834             40        35     2.000         2      1.00         0         0
  835             40        35     2.000         2      1.00         0         0
  841             40        35     2.842         2      1.00         0         0
  842             40        35     2.842         2      1.00         0         0
  843             40        35     2.842         2      1.00         0         0
  844             40        35     2.842         2      1.00         0         0
  845             40        35     2.842         2      1.00         0         0
  851             40        35     2.842         2      1.00         0         0
  852             40        35     2.842         2      1.00         0         0
  853             40        35     2.842         2      1.00         0         0
  854             40        35     2.842         2      1.00         0         0
  855             40        35     2.842         2      1.00         0         0
  861             40        35     2.842         2      1.00         0         0
  862             40        35     2.842         2      1.00         0         0
  863             40        35     2.842         2      1.00         0         0
  864             40        35     2.842         2      1.00         0         0
  865             40        35     2.842         2      1.00         0         0
  871             40        35     2.842         2      1.00         0         0
  872             40        35     2.842         2      1.00         0         0
  873             40        35     2.842         2      1.00         0         0
  875             40        35     2.842         2      1.00         0         0
  881             40        35     2.842         2      1.00         0         0
  882             40        35     2.842         2      1.00         0         0
  883             40        35     2.842         2      1.00         0         0
  884             40        35     2.842         2      1.00         0         0
  885             40        35     2.842         2      1.00         0         0
  891             40        35     2.842         2      1.00         0         0
  892             40        35     2.842         2      1.00         0         0
  893             40        35     2.842         2      1.00         0         0
  895             40        35     2.842         2      1.00         0         0
  901             40        35     2.842         2      1.00         0         0
  902             40        35     2.842         2      1.00         0         0
  911             40        35     2.842         2      1.00         0         0
  912             40        35     2.842         2      1.00         0         0
  913             40        35     2.842         2      1.00         0         0
  915             40        35     2.842         2      1.00         0         0
  921             40        35     2.842         2      1.00         0         0
  922             40        35     2.842         2      1.00         0         0
  923             40        35     2.842         2      1.00         0         0
  925             40        35     2.842         2      1.00         0         0
  931             40        35     2.842         2      1.00         0         0
  932             40        35     2.842         2      1.00         0         0
  933             40        35     2.842         2      1.00         0         0
  935             40        35     2.842         2      1.00         0         0
  941             40        35     7.040         2      1.00         0         0
  942             40        35     7.040         2      1.00         0         0
  943             40        35     7.040         2      1.00         0         0
  944             40        35     7.040         2      1.00         0         0
  945             40        35     7.040         2      1.00         0         0
  951             40        35     7.040         2      1.00         0         0
  952             40        35     7.040         2      1.00         0         0
  953             40        35     7.040         2      1.00         0         0
  954             40        35     7.040         2      1.00         0         0
  955             40        35     7.040         2      1.00         0         0
  961             40        35     7.040         2      1.00         0         0
  962             40        35     7.040         2      1.00         0         0
  963             40        35     7.040         2      1.00         0         0
  965             40        35     7.040         2      1.00         0         0
  971             40        35     2.000         2      1.00         0         0
  972             40        35     2.000         2      1.00         0         0
  973             40        35     2.000         2      1.00         0         0
  974             40        35     2.000         2      1.00         0         0
  975             40        35     2.000         2      1.00         0         0
  981             40        35     2.000         2      1.00         0         0
  982             40        35     2.000         2      1.00         0         0
  983             40        35     2.000         2      1.00         0         0
  984             40        35     2.000         2      1.00         0         0
  985             40        35     2.000         2      1.00         0         0
  991             40        35     2.000         2      1.00         0         0
  992             40        35     2.000         2      1.00         0         0
  993             40        35     2.000         2      1.00         0         0
  994             40        35     2.000         2      1.00         0         0
  995             40        35     2.000         2      1.00         0         0
***</IHM_PWAT_PARM3>

  END PWAT-PARM3
