  PWAT-PARM3
*** < PLS>    PETMAX    PETMIN    INFEXP    INFILD    DEEPFR    BASETP    AGWETP
*** x  - x   (deg F)   (deg F)
***<IHM_PWAT_PARM3>
  621             40        35     7.800         2      1.00         0         0
  622             40        35     7.800         2      1.00         0         0
  623             40        35     7.800         2      1.00         0         0
  624             40        35     7.800         2      1.00         0         0
  625             40        35     7.800         2      1.00         0         0
  631             40        35     7.800         2      1.00         0         0
  632             40        35     7.800         2      1.00         0         0
  633             40        35     7.800         2      1.00         0         0
  634             40        35     7.800         2      1.00         0         0
  635             40        35     7.800         2      1.00         0         0
  641             40        35     3.149         2      1.00         0         0
  642             40        35     3.149         2      1.00         0         0
  643             40        35     3.149         2      1.00         0         0
  644             40        35     3.149         2      1.00         0         0
  645             40        35     3.149         2      1.00         0         0
  651             40        35     3.149         2      1.00         0         0
  652             40        35     3.149         2      1.00         0         0
  653             40        35     3.149         2      1.00         0         0
  654             40        35     3.149         2      1.00         0         0
  655             40        35     3.149         2      1.00         0         0
  661             40        35     3.149         2      1.00         0         0
  662             40        35     3.149         2      1.00         0         0
  663             40        35     3.149         2      1.00         0         0
  664             40        35     3.149         2      1.00         0         0
  665             40        35     3.149         2      1.00         0         0
  671             40        35     3.400         2      1.00         0         0
  672             40        35     3.400         2      1.00         0         0
  673             40        35     3.400         2      1.00         0         0
  674             40        35     3.400         2      1.00         0         0
  675             40        35     3.400         2      1.00         0         0
  681             40        35     3.400         2      1.00         0         0
  682             40        35     3.400         2      1.00         0         0
  683             40        35     3.400         2      1.00         0         0
  684             40        35     3.400         2      1.00         0         0
  685             40        35     3.400         2      1.00         0         0
  691             40        35     3.400         2      1.00         0         0
  692             40        35     3.400         2      1.00         0         0
  693             40        35     3.400         2      1.00         0         0
  695             40        35     3.400         2      1.00         0         0
  701             40        35     3.220         2      1.00         0         0
  702             40        35     3.220         2      1.00         0         0
  703             40        35     3.220         2      1.00         0         0
  704             40        35     3.220         2      1.00         0         0
  705             40        35     3.220         2      1.00         0         0
  711             40        35     2.000         2      1.00         0         0
  712             40        35     2.000         2      1.00         0         0
  713             40        35     2.000         2      1.00         0         0
  714             40        35     2.000         2      1.00         0         0
  715             40        35     2.000         2      1.00         0         0
  721             40        35     2.000         2      1.00         0         0
  722             40        35     2.000         2      1.00         0         0
  723             40        35     2.000         2      1.00         0         0
  725             40        35     2.000         2      1.00         0         0
  731             40        35     3.220         2      1.00         0         0
  732             40        35     3.220         2      1.00         0         0
  733             40        35     3.220         2      1.00         0         0
  734             40        35     3.220         2      1.00         0         0
  735             40        35     3.220         2      1.00         0         0
  741             40        35     3.220         2      1.00         0         0
  742             40        35     3.220         2      1.00         0         0
  743             40        35     3.220         2      1.00         0         0
  744             40        35     3.220         2      1.00         0         0
  745             40        35     3.220         2      1.00         0         0
  751             40        35     5.960         2      1.00         0         0
  752             40        35     5.960         2      1.00         0         0
  753             40        35     5.960         2      1.00         0         0
