  PWAT-PARM2
*** < PLS>    FOREST      LZSN    INFILT      LSUR     SLSUR     KVARY     AGWRC
*** x  - x                (in)   (in/hr)      (ft)              (1/in)   (1/day)
***<IHM_PWAT_PARM2>
  252              0      0.01     1.325       161   0.00772         0      0.99
  253              0      0.01     1.290       153    0.0069         0      0.99
  254              0      0.01     1.342       300   0.00823         0      0.99
  255              0      0.01     1.337        63   0.00716         0      0.99
  261              0      0.01     3.071       400    0.0047         0      0.99
  262              0      0.01     3.038       172   0.00528         0      0.99
  263              0      0.01     3.213       163   0.00657         0      0.99
  264              0      0.01     2.505       120   0.00315         0      0.99
  265              0      0.01     3.034        65   0.00531         0      0.99
  271              0      0.01     0.394       400   0.01887         0      0.99
  272              0      0.01     0.394       160   0.01485         0      0.99
  273              0      0.01     0.389       239   0.01747         0      0.99
  274              0      0.01     0.385       300   0.01324         0      0.99
  275              0      0.01     0.383        80   0.01701         0      0.99
  281              0      0.01     0.354       400   0.00946         0      0.99
  282              0      0.01     0.362       165    0.0071         0      0.99
  283              0      0.01     0.386       228   0.01108         0      0.99
  284              0      0.01     0.362       210   0.00929         0      0.99
  285              0      0.01     0.340        71   0.00725         0      0.99
  361              0      0.01     4.646       400   0.00231         0      0.99
  362              0      0.01     4.624       195   0.00243         0      0.99
  363              0      0.01     4.657       181     0.005         0      0.99
  364              0      0.01     4.678       231   0.00265         0      0.99
  365              0      0.01     4.591        64   0.00318         0      0.99
  391              0      0.01     4.333       400   0.00122         0      0.99
  392              0      0.01     4.320       183    0.0041         0      0.99
  393              0      0.01     4.550       199   0.00563         0      0.99
  395              0      0.01     4.396        54    0.0041         0      0.99
  431              0      0.01     0.539       400   0.00345         0      0.99
  432              0      0.01     0.564       172   0.00254         0      0.99
  433              0      0.01     0.582       177   0.00262         0      0.99
  434              0      0.01     0.522       122    0.0023         0      0.99
  435              0      0.01     0.578        68   0.00281         0      0.99
  441              0      0.01     0.566       400   0.00607         0      0.99
  442              0      0.01     0.612       177   0.00396         0      0.99
  443              0      0.01     0.618       189   0.00417         0      0.99
  444              0      0.01     0.464       100   0.00346         0      0.99
  445              0      0.01     0.611        60   0.00509         0      0.99
  451              0      0.01     0.581       400    0.0064         0      0.99
  452              0      0.01     0.580       165   0.00377         0      0.99
  453              0      0.01     0.584       193   0.00303         0      0.99
  454              0      0.01     0.548       101   0.00384         0      0.99
  455              0      0.01     0.578        79   0.00341         0      0.99
  461              0      0.01     0.127       400   0.00264         0      0.99
  462              0      0.01     0.174       204   0.00266         0      0.99
  463              0      0.01     0.146       235   0.00467         0      0.99
  464              0      0.01     0.126       100   0.00207         0      0.99
  465              0      0.01     0.178        59   0.00227         0      0.99
  471              0      0.01     0.177       400   0.00357         0      0.99
  472              0      0.01     0.170       170   0.00317         0      0.99
  473              0      0.01     0.169       228   0.00271         0      0.99
  474              0      0.01     0.141       100   0.00321         0      0.99
  475              0      0.01     0.165        78    0.0027         0      0.99
  481              0      0.01     3.301       400   0.00568         0      0.99
  482              0      0.01     3.191       169   0.00398         0      0.99
  483              0      0.01     3.172       212   0.00358         0      0.99
  484              0      0.01     3.168       101   0.00323         0      0.99
  485              0      0.01     3.134        80   0.00326         0      0.99
  491              0      0.01     3.107       400   0.00499         0      0.99
  492              0      0.01     3.168       161   0.00368         0      0.99
  493              0      0.01     3.236       188   0.00318         0      0.99
  494              0      0.01     2.071       100   0.00368         0      0.99
  495              0      0.01     3.262        69   0.00361         0      0.99
  501              0      0.01     3.095       400   0.00253         0      0.99
  502              0      0.01     2.969       161   0.00219         0      0.99
  503              0      0.01     2.884       193   0.00198         0      0.99
  504              0      0.01     2.892       102   0.00232         0      0.99
  505              0      0.01     2.968        73   0.00207         0      0.99
  511              0      0.01     3.260       400   0.00293         0      0.99
  512              0      0.01     3.228       161   0.00242         0      0.99
  513              0      0.01     3.198       166   0.00221         0      0.99
  514              0      0.01     1.091       115   0.00209         0      0.99
  515              0      0.01     3.281        71   0.00271         0      0.99
  521              0      0.01     0.137       400   0.00479         0      0.99
  522              0      0.01     0.125       166   0.00254         0      0.99
  523              0      0.01     0.119       142   0.00159         0      0.99
  524              0      0.01     0.126       125   0.00289         0      0.99
  525              0      0.01     0.137        61   0.00339         0      0.99
  531              0      0.01     0.128       400   0.00447         0      0.99
  532              0      0.01     0.130       163   0.00404         0      0.99
  533              0      0.01     0.130       175   0.00468         0      0.99
  534              0      0.01     0.130       163   0.00207         0      0.99
  535              0      0.01     0.129        60   0.00416         0      0.99
  541              0      0.01     0.472       400   0.00322         0      0.99
  542              0      0.01     0.444       174   0.00251         0      0.99
  543              0      0.01     0.456       117    0.0022         0      0.99
  544              0      0.01     0.438       264   0.00183         0      0.99
  545              0      0.01     0.452        65   0.00254         0      0.99
  551              0      0.01     0.464       400   0.00474         0      0.99
  552              0      0.01     0.454       165    0.0027         0      0.99
  553              0      0.01     0.457       209   0.00277         0      0.99
  554              0      0.01     0.444       299   0.00178         0      0.99
  555              0      0.01     0.458        72   0.00317         0      0.99
  561              0      0.01     0.670       400   0.00145         0      0.99
  562              0      0.01     0.655       163    0.0013         0      0.99
  563              0      0.01     0.663       107   0.00111         0      0.99
  564              0      0.01     0.648       113   0.00073         0      0.99
  565              0      0.01     0.631        60    0.0011         0      0.99
  571              0      0.01     1.333       400   0.00228         0      0.99
  572              0      0.01     1.215       173   0.00237         0      0.99
  573              0      0.01     1.275       165   0.00252         0      0.99
  574              0      0.01     1.258       100   0.00077         0      0.99
  575              0      0.01     1.333        55   0.00279         0      0.99
  581              0      0.01     2.638       400   0.00316         0      0.99
  582              0      0.01     2.460       178   0.00257         0      0.99
  583              0      0.01     2.485       157   0.00252         0      0.99
  584              0      0.01     2.494       300    0.0027         0      0.99
  585              0      0.01     2.567        77   0.00314         0      0.99
  591              0      0.01     2.786       400   0.00447         0      0.99
  592              0      0.01     2.648       184   0.00205         0      0.99
  593              0      0.01     2.622       172    0.0023         0      0.99
  594              0      0.01     2.791       271   0.00143         0      0.99
  595              0      0.01     2.458        72   0.00684         0      0.99
  601              0      0.01     2.569       400   0.00458         0      0.99
  602              0      0.01     2.550       197   0.00307         0      0.99
  603              0      0.01     2.639       132   0.00239         0      0.99
  604              0      0.01     2.460       300   0.00256         0      0.99
  605              0      0.01     2.456        71   0.00325         0      0.99
  611              0      0.01     0.681       400   0.00275         0      0.99
  612              0      0.01     0.673       177   0.00179         0      0.99
  613              0      0.01     0.662       141   0.00143         0      0.99
  614              0      0.01     0.652       245   0.00127         0      0.99
  615              0      0.01     0.653        62    0.0019         0      0.99
  621              0      0.01     0.666       400   0.00177         0      0.99
  622              0      0.01     0.649       172   0.00136         0      0.99
  623              0      0.01     0.656       179   0.00139         0      0.99
