  SCHEMATIC
<-Volume->                  <--Area-->     <-Volume->  <ML#> ***       <sb>
<Name>   x                  <-factor->     <Name>   x        ***        x x
*** Each COPY operation holds the inflow for up to 10 reaches.  For example,
*** COPY 80 members 1-10 hold the data for reaches 80-89, so the member
*** subscript is one more than the ones digit of the reach number.  All of
*** the COPY outputs are written to the transfer WDM file, with the dataset
*** number matching the reach number.  The transfers are all in acre-feet/day.

*** In the MASS-LINK table number, the tens digit matches the reach number,
*** while the ones digit indicates PERLND (1) or IMPLND (2).
***<IHM_SCHEMATIC>
PERLND 121                      18.943     COPY   200     81
PERLND 121                    8590.238     COPY   310     21
PERLND 122                     677.646     COPY    10     21
PERLND 122                     930.621     COPY   200     41
PERLND 122                     281.940     COPY   200     71
PERLND 122                      26.983     COPY   200     81
PERLND 122                   12236.180     COPY   310     21
PERLND 123                      53.046     COPY    10     21
PERLND 123                      72.848     COPY   200     41
PERLND 123                      22.070     COPY   200     71
PERLND 123                       2.112     COPY   200     81
PERLND 123                     957.838     COPY   310     21
PERLND 124                       9.832     COPY    10     21
PERLND 124                      13.502     COPY   200     41
PERLND 124                       4.091     COPY   200     71
PERLND 124                        .391     COPY   200     81
PERLND 124                     177.533     COPY   310     21
PERLND 125                     208.962     COPY    10     21
PERLND 125                     286.970     COPY   200     41
PERLND 125                      86.940     COPY   200     71
PERLND 125                       8.320     COPY   200     81
PERLND 125                    3773.197     COPY   310     21
PERLND 131                       8.205     COPY    10     31
PERLND 131                    4007.485     COPY   310     31
PERLND 132                       2.245     COPY    10     31
PERLND 132                    1096.419     COPY   310     31
PERLND 133                        .053     COPY    10     31
PERLND 133                      25.845     COPY   310     31
PERLND 134                        .093     COPY    10     31
PERLND 134                      45.390     COPY   310     31
PERLND 135                        .550     COPY    10     31
PERLND 135                     268.663     COPY   310     31
PERLND 141                    6598.335     COPY   310     41
PERLND 142                    2825.428     COPY   310     41
PERLND 143                     260.026     COPY   310     41
PERLND 144                    2947.661     COPY   310     41
PERLND 145                    2473.649     COPY   310     41
PERLND 151                       9.312     COPY    10     51
PERLND 151                    1760.308     COPY   200     81
PERLND 151                   15395.933     COPY   310     51
PERLND 152                       4.169     COPY    10     51
PERLND 152                     788.064     COPY   200     81
PERLND 152                    6892.534     COPY   310     51
PERLND 153                        .092     COPY    10     51
PERLND 153                      17.367     COPY   200     81
PERLND 153                     151.895     COPY   310     51
PERLND 154                        .161     COPY    10     51
PERLND 154                      30.369     COPY   200     81
PERLND 154                     265.616     COPY   310     51
PERLND 155                       1.774     COPY    10     51
PERLND 155                     335.295     COPY   200     81
PERLND 155                    2932.538     COPY   310     51
PERLND 161                    1926.289     COPY    10     61
PERLND 161                    7557.309     COPY   310     61
PERLND 162                    5034.248     COPY    10     61
PERLND 162                   19750.605     COPY   310     61
PERLND 163                     210.796     COPY    10     61
PERLND 163                     827.007     COPY   310     61
PERLND 164                     113.375     COPY    10     61
PERLND 164                     444.799     COPY   310     61
PERLND 165                     564.879     COPY    10     61
PERLND 165                    2216.159     COPY   310     61
PERLND 171                      24.333     COPY   200     81
PERLND 171                   17067.992     COPY   310     71
PERLND 172                      14.470     COPY   200     81
PERLND 172                   10149.392     COPY   310     71
PERLND 173                        .244     COPY   200     81
PERLND 173                     171.397     COPY   310     71
PERLND 174                       2.525     COPY   200     81
PERLND 174                    1771.239     COPY   310     71
PERLND 175                       5.471     COPY   200     81
PERLND 175                    3837.215     COPY   310     71
PERLND 181                     500.281     COPY    10     81
PERLND 181                   19650.221     COPY   310     81
PERLND 182                     329.175     COPY    10     81
PERLND 182                   12929.431     COPY   310     81
PERLND 183                      20.024     COPY    10     81
PERLND 183                     786.496     COPY   310     81
PERLND 184                      20.556     COPY    10     81
PERLND 184                     807.394     COPY   310     81
PERLND 185                      72.638     COPY    10     81
PERLND 185                    2853.087     COPY   310     81
PERLND 191                     902.911     COPY    10     91
PERLND 191                    2831.165     COPY   310     91
PERLND 192                     574.039     COPY    10     91
PERLND 192                    1799.956     COPY   310     91
PERLND 193                      27.725     COPY    10     91
PERLND 193                      86.936     COPY   310     91
PERLND 194                        .959     COPY    10     91
PERLND 194                       3.006     COPY   310     91
PERLND 195                    1339.085     COPY    10     91
PERLND 195                    4198.832     COPY   310     91
PERLND 201                    2445.555     COPY   320      1
PERLND 202                    1623.988     COPY   320      1
PERLND 203                      10.101     COPY   320      1
PERLND 204                    2085.271     COPY   320      1
PERLND 205                     450.371     COPY   320      1
PERLND 211                     816.586     COPY    20     11
PERLND 211                    7072.004     COPY   320     11
PERLND 212                     419.340     COPY    20     11
PERLND 212                    3631.674     COPY   320     11
PERLND 213                        .422     COPY    20     11
PERLND 213                       3.656     COPY   320     11
PERLND 214                        .807     COPY    20     11
PERLND 214                       6.989     COPY   320     11
PERLND 215                     150.619     COPY    20     11
PERLND 215                    1304.433     COPY   320     11
PERLND 221                     441.850     COPY   320     21
PERLND 222                     735.209     COPY   320     21
PERLND 224                    2413.577     COPY   320     21
PERLND 225                      80.891     COPY   320     21
PERLND 231                    5422.353     COPY   320     31
PERLND 232                    3368.121     COPY   320     31
PERLND 233                     421.758     COPY   320     31
PERLND 234                     230.476     COPY   320     31
PERLND 235                    6431.278     COPY   320     31
PERLND 241                    1942.228     COPY   320     41
PERLND 242                     331.682     COPY   320     41
PERLND 243                     412.250     COPY   320     41
PERLND 244                      42.145     COPY   320     41
PERLND 245                    2670.254     COPY   320     41
PERLND 251                     515.358     COPY    20     51
PERLND 251                     362.835     COPY   270     41
PERLND 251                    4365.176     COPY   320     51
PERLND 252                     217.960     COPY    20     51
PERLND 252                     153.453     COPY   270     41
PERLND 252                    1846.159     COPY   320     51
PERLND 253                      20.412     COPY    20     51
PERLND 253                      14.371     COPY   270     41
PERLND 253                     172.892     COPY   320     51
PERLND 254                      16.799     COPY    20     51
PERLND 254                      11.827     COPY   270     41
PERLND 254                     142.286     COPY   320     51
PERLND 255                     264.282     COPY    20     51
PERLND 255                     186.066     COPY   270     41
PERLND 255                    2238.513     COPY   320     51
PERLND 261                    1878.561     COPY    20     61
PERLND 261                   11146.293     COPY   320     61
PERLND 262                     847.086     COPY    20     61
PERLND 262                    5026.117     COPY   320     61
PERLND 263                     169.918     COPY    20     61
PERLND 263                    1008.193     COPY   320     61
PERLND 264                     182.847     COPY    20     61
PERLND 264                    1084.909     COPY   320     61
PERLND 265                    3518.770     COPY    20     61
PERLND 265                   20878.341     COPY   320     61
PERLND 271                    2992.356     COPY   320     71
PERLND 272                    2651.486     COPY   320     71
PERLND 273                     988.397     COPY   320     71
PERLND 274                      86.995     COPY   320     71
PERLND 275                     267.220     COPY   320     71
PERLND 281                    2559.909     COPY    20     81
PERLND 281                   13766.261     COPY   320     81
PERLND 282                    2271.202     COPY    20     81
PERLND 282                   12213.698     COPY   320     81
PERLND 283                     303.378     COPY    20     81
PERLND 283                    1631.455     COPY   320     81
PERLND 284                      69.311     COPY    20     81
PERLND 284                     372.730     COPY   320     81
PERLND 285                     615.470     COPY    20     81
PERLND 285                    3309.776     COPY   320     81
PERLND 361                     202.487     COPY    30     61
PERLND 361                    4446.706     COPY   330     61
PERLND 362                      83.314     COPY    30     61
PERLND 362                    1829.616     COPY   330     61
PERLND 363                      16.106     COPY    30     61
PERLND 363                     353.697     COPY   330     61
PERLND 364                      10.299     COPY    30     61
PERLND 364                     226.170     COPY   330     61
PERLND 365                     270.118     COPY    30     61
PERLND 365                    5931.920     COPY   330     61
PERLND 391                     172.624     COPY    30     91
PERLND 391                     596.492     COPY   330     91
PERLND 392                      97.433     COPY    30     91
PERLND 392                     336.674     COPY   330     91
PERLND 393                      37.862     COPY    30     91
PERLND 393                     130.828     COPY   330     91
PERLND 395                     842.273     COPY    30     91
PERLND 395                    2910.427     COPY   330     91
PERLND 431                    1020.748     COPY   140     31
PERLND 431                    2235.269     COPY   440     31
PERLND 432                    3349.877     COPY   140     31
PERLND 432                    7335.671     COPY   440     31
PERLND 433                    1513.339     COPY   140     31
PERLND 433                    3313.960     COPY   440     31
PERLND 434                     388.518     COPY   140     31
PERLND 434                     850.790     COPY   440     31
PERLND 435                    2415.834     COPY   140     31
PERLND 435                    5290.274     COPY   440     31
PERLND 441                    1017.365     COPY   140     41
PERLND 441                    1105.264     COPY   440     41
PERLND 442                    1360.291     COPY   140     41
PERLND 442                    1477.819     COPY   440     41
PERLND 443                     352.253     COPY   140     41
PERLND 443                     382.687     COPY   440     41
PERLND 444                   11919.592     COPY   140     41
PERLND 444                   12949.436     COPY   440     41
PERLND 445                    2109.477     COPY   140     41
PERLND 445                    2291.735     COPY   440     41
PERLND 451                     693.354     COPY   140     51
PERLND 451                     208.258     COPY   250     71
PERLND 451                     312.160     COPY   440     51
PERLND 452                    1037.516     COPY   140     51
PERLND 452                     311.632     COPY   250     71
PERLND 452                     467.108     COPY   440     51
PERLND 453                     386.694     COPY   140     51
PERLND 453                     116.149     COPY   250     71
PERLND 453                     174.096     COPY   440     51
PERLND 454                    2076.647     COPY   140     51
PERLND 454                     623.749     COPY   250     71
PERLND 454                     934.942     COPY   440     51
PERLND 455                     539.539     COPY   140     51
PERLND 455                     162.058     COPY   250     71
PERLND 455                     242.910     COPY   440     51
PERLND 461                      85.048     COPY   140     61
PERLND 461                     101.451     COPY   440     61
PERLND 462                     162.579     COPY   140     61
PERLND 462                     193.935     COPY   440     61
PERLND 463                      78.164     COPY   140     61
PERLND 463                      93.239     COPY   440     61
PERLND 464                   15717.111     COPY   140     61
PERLND 464                   18748.398     COPY   440     61
PERLND 465                     136.090     COPY   140     61
PERLND 465                     162.337     COPY   440     61
PERLND 471                     966.281     COPY   140     71
PERLND 471                     387.539     COPY   250     81
PERLND 471                     632.952     COPY   440     71
PERLND 472                    2916.150     COPY   140     71
PERLND 472                    1169.557     COPY   250     81
PERLND 472                    1910.192     COPY   440     71
PERLND 473                    1472.091     COPY   140     71
PERLND 473                     590.400     COPY   250     81
PERLND 473                     964.277     COPY   440     71
PERLND 474                    7186.621     COPY   140     71
PERLND 474                    2882.279     COPY   250     81
PERLND 474                    4707.517     COPY   440     71
PERLND 475                      98.613     COPY   140     71
PERLND 475                      39.550     COPY   250     81
PERLND 475                      64.595     COPY   440     71
PERLND 481                    1226.251     COPY   140     81
PERLND 481                        .583     COPY   250     81
PERLND 481                     187.465     COPY   250     91
PERLND 481                     892.702     COPY   440     81
PERLND 482                    4289.956     COPY   140     81
PERLND 482                       2.041     COPY   250     81
PERLND 482                     655.833     COPY   250     91
PERLND 482                    3123.060     COPY   440     81
PERLND 483                     991.504     COPY   140     81
PERLND 483                        .472     COPY   250     81
PERLND 483                     151.578     COPY   250     91
PERLND 483                     721.809     COPY   440     81
PERLND 484                    1418.421     COPY   140     81
PERLND 484                        .675     COPY   250     81
PERLND 484                     216.843     COPY   250     91
PERLND 484                    1032.601     COPY   440     81
PERLND 485                     662.570     COPY   140     81
PERLND 485                        .315     COPY   250     81
PERLND 485                     101.291     COPY   250     91
PERLND 485                     482.347     COPY   440     81
PERLND 491                      37.554     COPY   140     91
PERLND 491                      46.749     COPY   250     91
PERLND 491                     487.813     COPY   260      1
PERLND 491                    1252.489     COPY   440     91
PERLND 492                      53.247     COPY   140     91
PERLND 492                      66.285     COPY   250     91
PERLND 492                     691.666     COPY   260      1
PERLND 492                    1775.894     COPY   440     91
PERLND 493                      18.150     COPY   140     91
PERLND 493                      22.594     COPY   250     91
PERLND 493                     235.766     COPY   260      1
PERLND 493                     605.344     COPY   440     91
PERLND 494                      47.789     COPY   140     91
PERLND 494                      59.490     COPY   250     91
PERLND 494                     620.769     COPY   260      1
PERLND 494                    1593.862     COPY   440     91
PERLND 495                      24.968     COPY   140     91
PERLND 495                      31.081     COPY   250     91
PERLND 495                     324.322     COPY   260      1
PERLND 495                     832.717     COPY   440     91
PERLND 501                     238.243     COPY   150      1
PERLND 501                     393.466     COPY   450      1
PERLND 502                    1493.284     COPY   150      1
PERLND 502                    2466.209     COPY   450      1
PERLND 503                    1406.110     COPY   150      1
PERLND 503                    2322.238     COPY   450      1
PERLND 504                     897.960     COPY   150      1
PERLND 504                    1483.011     COPY   450      1
PERLND 505                     625.947     COPY   150      1
PERLND 505                    1033.773     COPY   450      1
PERLND 511                     174.000     COPY   150     11
PERLND 511                     364.856     COPY   450     11
PERLND 512                     995.517     COPY   150     11
PERLND 512                    2087.475     COPY   450     11
PERLND 513                     734.490     COPY   150     11
PERLND 513                    1540.133     COPY   450     11
PERLND 514                    1043.581     COPY   150     11
PERLND 514                    2188.259     COPY   450     11
PERLND 515                     603.602     COPY   150     11
PERLND 515                    1265.679     COPY   450     11
PERLND 521                    3637.384     COPY   150     21
PERLND 521                    4548.524     COPY   450     21
PERLND 522                    5398.574     COPY   150     21
PERLND 522                    6750.881     COPY   450     21
PERLND 523                     972.126     COPY   150     21
PERLND 523                    1215.637     COPY   450     21
PERLND 524                    1058.977     COPY   150     21
PERLND 524                    1324.244     COPY   450     21
PERLND 525                    1297.269     COPY   150     21
PERLND 525                    1622.226     COPY   450     21
PERLND 531                     279.168     COPY   150     31
PERLND 531                     137.136     COPY   260     11
PERLND 531                     371.407     COPY   260     21
PERLND 531                    1658.501     COPY   450     31
PERLND 532                     354.019     COPY   150     31
