  MON-INTERCEP
*** <PLS >  Interception storage capacity at start of each month (in)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
***<IHM_MON_INTERCEP>
  165     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  171     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  172     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  173     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  174     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  175     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  181     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  182     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  183     0.0110.0210.0320.0570.0570.0570.0570.0570.0570.0570.0320.021
  184     0.0110.0210.0320.0560.0560.0560.0560.0560.0560.0560.0320.021
  185     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  191     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  192     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  193     0.0110.0220.0330.0580.0580.0580.0580.0580.0580.0580.0330.022
  194     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  195     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  201     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  202     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  203     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  204     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  205     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  211     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  212     0.0080.0160.0230.0420.0420.0420.0420.0420.0420.0420.0230.016
  213     0.0110.0220.0320.0580.0580.0580.0580.0580.0580.0580.0320.022
  214     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  215     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  221     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  222     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  224     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  225     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  231     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  232     0.0090.0180.0270.0470.0470.0470.0470.0470.0470.0470.0270.018
  233     0.0110.0210.0320.0560.0560.0560.0560.0560.0560.0560.0320.021
  234     0.0100.0200.0290.0520.0520.0520.0520.0520.0520.0520.0290.020
  235     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  241     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  242     0.0080.0170.0250.0440.0440.0440.0440.0440.0440.0440.0250.017
  243     0.0110.0220.0320.0580.0580.0580.0580.0580.0580.0580.0320.022
  244     0.0080.0160.0250.0440.0440.0440.0440.0440.0440.0440.0250.016
  245     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  251     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  252     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  253     0.0100.0210.0310.0550.0550.0550.0550.0550.0550.0550.0310.021
  254     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
