  PWAT-PARM3
*** < PLS>    PETMAX    PETMIN    INFEXP    INFILD    DEEPFR    BASETP    AGWETP
*** x  - x   (deg F)   (deg F)
***<IHM_PWAT_PARM3>
  392             40        35     2.000         2      1.00         0         0
  393             40        35     2.000         2      1.00         0         0
  395             40        35     2.000         2      1.00         0         0
  431             40        35     2.000         2      1.00         0         0
  432             40        35     2.000         2      1.00         0         0
  433             40        35     2.000         2      1.00         0         0
  434             40        35     2.000         2      1.00         0         0
  435             40        35     2.000         2      1.00         0         0
  441             40        35     2.000         2      1.00         0         0
  442             40        35     2.000         2      1.00         0         0
  443             40        35     2.000         2      1.00         0         0
  444             40        35     2.000         2      1.00         0         0
  445             40        35     2.000         2      1.00         0         0
  451             40        35     2.000         2      1.00         0         0
  452             40        35     2.000         2      1.00         0         0
  453             40        35     2.000         2      1.00         0         0
  454             40        35     2.000         2      1.00         0         0
  455             40        35     2.000         2      1.00         0         0
  461             40        35     3.260         2      1.00         0         0
  462             40        35     3.260         2      1.00         0         0
  463             40        35     3.260         2      1.00         0         0
  464             40        35     3.260         2      1.00         0         0
  465             40        35     3.260         2      1.00         0         0
  471             40        35     3.260         2      1.00         0         0
  472             40        35     3.260         2      1.00         0         0
  473             40        35     3.260         2      1.00         0         0
  474             40        35     3.260         2      1.00         0         0
  475             40        35     3.260         2      1.00         0         0
  481             40        35     5.558         2      1.00         0         0
  482             40        35     5.558         2      1.00         0         0
  483             40        35     5.558         2      1.00         0         0
  484             40        35     5.558         2      1.00         0         0
  485             40        35     5.558         2      1.00         0         0
  491             40        35     5.558         2      1.00         0         0
  492             40        35     5.558         2      1.00         0         0
  493             40        35     5.558         2      1.00         0         0
  494             40        35     5.558         2      1.00         0         0
  495             40        35     5.558         2      1.00         0         0
  501             40        35     5.558         2      1.00         0         0
  502             40        35     5.558         2      1.00         0         0
  503             40        35     5.558         2      1.00         0         0
  504             40        35     5.558         2      1.00         0         0
  505             40        35     5.558         2      1.00         0         0
  511             40        35     5.558         2      1.00         0         0
  512             40        35     5.558         2      1.00         0         0
  513             40        35     5.558         2      1.00         0         0
  514             40        35     5.558         2      1.00         0         0
  515             40        35     5.558         2      1.00         0         0
  521             40        35     3.040         2      1.00         0         0
  522             40        35     3.040         2      1.00         0         0
  523             40        35     3.040         2      1.00         0         0
  524             40        35     3.040         2      1.00         0         0
  525             40        35     3.040         2      1.00         0         0
  531             40        35     3.040         2      1.00         0         0
  532             40        35     3.040         2      1.00         0         0
  533             40        35     3.040         2      1.00         0         0
  534             40        35     3.040         2      1.00         0         0
  535             40        35     3.040         2      1.00         0         0
  541             40        35     3.120         2      1.00         0         0
  542             40        35     3.120         2      1.00         0         0
  543             40        35     3.120         2      1.00         0         0
  544             40        35     3.120         2      1.00         0         0
  545             40        35     3.120         2      1.00         0         0
  551             40        35     3.120         2      1.00         0         0
  552             40        35     3.120         2      1.00         0         0
  553             40        35     3.120         2      1.00         0         0
  554             40        35     3.120         2      1.00         0         0
  555             40        35     3.120         2      1.00         0         0
  561             40        35     5.160         2      1.00         0         0
  562             40        35     5.160         2      1.00         0         0
  563             40        35     5.160         2      1.00         0         0
  564             40        35     5.160         2      1.00         0         0
  565             40        35     5.160         2      1.00         0         0
  571             40        35     3.020         2      1.00         0         0
  572             40        35     3.020         2      1.00         0         0
  573             40        35     3.020         2      1.00         0         0
  574             40        35     3.020         2      1.00         0         0
  575             40        35     3.020         2      1.00         0         0
  581             40        35     2.000         2      1.00         0         0
  582             40        35     2.000         2      1.00         0         0
  583             40        35     2.000         2      1.00         0         0
  584             40        35     2.000         2      1.00         0         0
  585             40        35     2.000         2      1.00         0         0
  591             40        35     2.000         2      1.00         0         0
  592             40        35     2.000         2      1.00         0         0
  593             40        35     2.000         2      1.00         0         0
  594             40        35     2.000         2      1.00         0         0
  595             40        35     2.000         2      1.00         0         0
  601             40        35     2.000         2      1.00         0         0
  602             40        35     2.000         2      1.00         0         0
  603             40        35     2.000         2      1.00         0         0
  604             40        35     2.000         2      1.00         0         0
  605             40        35     2.000         2      1.00         0         0
  611             40        35     5.160         2      1.00         0         0
  612             40        35     5.160         2      1.00         0         0
  613             40        35     5.160         2      1.00         0         0
  614             40        35     5.160         2      1.00         0         0
  615             40        35     5.160         2      1.00         0         0
  621             40        35     5.160         2      1.00         0         0
  622             40        35     5.160         2      1.00         0         0
  623             40        35     5.160         2      1.00         0         0
  624             40        35     5.160         2      1.00         0         0
  625             40        35     5.160         2      1.00         0         0
  631             40        35     2.000         2      1.00         0         0
  632             40        35     2.000         2      1.00         0         0
  633             40        35     2.000         2      1.00         0         0
  634             40        35     2.000         2      1.00         0         0
  635             40        35     2.000         2      1.00         0         0
  641             40        35     2.000         2      1.00         0         0
  642             40        35     2.000         2      1.00         0         0
  643             40        35     2.000         2      1.00         0         0
  644             40        35     2.000         2      1.00         0         0
  645             40        35     2.000         2      1.00         0         0
  651             40        35     2.000         2      1.00         0         0
  652             40        35     2.000         2      1.00         0         0
  653             40        35     2.000         2      1.00         0         0
  654             40        35     2.000         2      1.00         0         0
  655             40        35     2.000         2      1.00         0         0
  661             40        35     4.120         2      1.00         0         0
  662             40        35     4.120         2      1.00         0         0
  663             40        35     4.120         2      1.00         0         0
  664             40        35     4.120         2      1.00         0         0
  665             40        35     4.120         2      1.00         0         0
  671             40        35     2.000         2      1.00         0         0
  672             40        35     2.000         2      1.00         0         0
  673             40        35     2.000         2      1.00         0         0
  674             40        35     2.000         2      1.00         0         0
  675             40        35     2.000         2      1.00         0         0
  681             40        35     4.120         2      1.00         0         0
  682             40        35     4.120         2      1.00         0         0
  683             40        35     4.120         2      1.00         0         0
  684             40        35     4.120         2      1.00         0         0
  685             40        35     4.120         2      1.00         0         0
  691             40        35     3.020         2      1.00         0         0
  692             40        35     3.020         2      1.00         0         0
  693             40        35     3.020         2      1.00         0         0
  694             40        35     3.020         2      1.00         0         0
  701             40        35     5.160         2      1.00         0         0
  702             40        35     5.160         2      1.00         0         0
  703             40        35     5.160         2      1.00         0         0
  705             40        35     5.160         2      1.00         0         0
  721             40        35     2.000         2      1.00         0         0
  722             40        35     2.000         2      1.00         0         0
  723             40        35     2.000         2      1.00         0         0
  725             40        35     2.000         2      1.00         0         0
***</IHM_PWAT_PARM3>

  END PWAT-PARM3
