  PWAT-PARM2
*** < PLS>    FOREST      LZSN    INFILT      LSUR     SLSUR     KVARY     AGWRC
*** x  - x                (in)   (in/hr)      (ft)              (1/in)   (1/day)
***<IHM_PWAT_PARM2>
  554              0      0.01     2.229       219   0.00261         0      0.99
  555              0      0.01     2.238        68   0.00346         0      0.99
  561              0      0.01     2.203       400    0.0004         0      0.99
  562              0      0.01     2.203       177   0.00077         0      0.99
  563              0      0.01     2.203       160   0.00075         0      0.99
  565              0      0.01     2.206        56   0.00075         0      0.99
  571              0      0.01     2.204       400   0.00088         0      0.99
  572              0      0.01     2.225       188   0.00184         0      0.99
  573              0      0.01     2.203       173   0.00207         0      0.99
  574              0      0.01     2.203       100   0.00437         0      0.99
  575              0      0.01     2.205        68    0.0009         0      0.99
  581              0      0.01     1.092       400   0.00559         0      0.99
  582              0      0.01     1.063       165   0.00495         0      0.99
  583              0      0.01     1.023       162    0.0036         0      0.99
  585              0      0.01     1.155        57   0.00639         0      0.99
  591              0      0.01     0.844       400    0.0034         0      0.99
  592              0      0.01     0.604       160   0.00369         0      0.99
  593              0      0.01     1.005       176   0.00766         0      0.99
  595              0      0.01     1.056        44   0.00606         0      0.99
  601              0      0.01     3.199       400   0.00548         0      0.99
  602              0      0.01     2.762       161   0.00385         0      0.99
  603              0      0.01     3.345       161   0.00463         0      0.99
  604              0      0.01     2.121       300   0.00558         0      0.99
  605              0      0.01     3.201        52   0.00476         0      0.99
  611              0      0.01     3.535       400   0.00658         0      0.99
  612              0      0.01     3.371       164   0.00538         0      0.99
  613              0      0.01     3.474       166   0.00363         0      0.99
  614              0      0.01     1.000       300    0.0069         0      0.99
  615              0      0.01     3.527        46   0.00468         0      0.99
  621              0      0.01     3.761       400   0.00309         0      0.99
  622              0      0.01     3.064       164   0.00409         0      0.99
  623              0      0.01     3.087       162   0.00389         0      0.99
  624              0      0.01     3.199       248   0.00604         0      0.99
  625              0      0.01     3.517        43   0.00385         0      0.99
  631              0      0.01     3.202       400   0.00437         0      0.99
  632              0      0.01     2.984       163   0.00382         0      0.99
  633              0      0.01     3.193       182   0.00352         0      0.99
  634              0      0.01     3.178       272     0.003         0      0.99
  635              0      0.01     3.330        48   0.00344         0      0.99
  641              0      0.01     1.353       400   0.00154         0      0.99
  642              0      0.01     1.365       161   0.00223         0      0.99
  643              0      0.01     1.284       165   0.00203         0      0.99
  644              0      0.01     1.256       286    0.0014         0      0.99
  645              0      0.01     1.410        44   0.00197         0      0.99
  651              0      0.01     1.351       400   0.00056         0      0.99
  652              0      0.01     1.303       174   0.00083         0      0.99
  653              0      0.01     1.348       164   0.00076         0      0.99
  654              0      0.01     1.316       117   0.00077         0      0.99
  655              0      0.01     1.252        51   0.00096         0      0.99
  661              0      0.01     1.391       400    0.0024         0      0.99
  662              0      0.01     1.522       177   0.00162         0      0.99
  663              0      0.01     1.458       161   0.00247         0      0.99
  664              0      0.01     1.388       300   0.00291         0      0.99
  665              0      0.01     1.700        43    0.0019         0      0.99
  671              0      0.01     0.670       400   0.00466         0      0.99
  672              0      0.01     0.669       166   0.00368         0      0.99
  673              0      0.01     0.667       240   0.00405         0      0.99
  674              0      0.01     0.667       286   0.00502         0      0.99
  675              0      0.01     0.668        65     0.004         0      0.99
  681              0      0.01     0.665       400    0.0009         0      0.99
  682              0      0.01     0.670       179   0.00094         0      0.99
  683              0      0.01     0.662       177    0.0015         0      0.99
  684              0      0.01     0.667       254   0.00105         0      0.99
  685              0      0.01     0.667        63   0.00098         0      0.99
  691              0      0.01     0.646       400    0.0008         0      0.99
  692              0      0.01     0.643       185   0.00065         0      0.99
  693              0      0.01     0.655       160   0.00096         0      0.99
  695              0      0.01     0.641        55   0.00087         0      0.99
  701              0      0.01     0.299       400   0.00149         0      0.99
  702              0      0.01     0.288       173   0.00135         0      0.99
  703              0      0.01     0.290       205   0.00175         0      0.99
  704              0      0.01     0.290       300   0.00123         0      0.99
  705              0      0.01     0.290        60   0.00183         0      0.99
  711              0      0.01     0.702       400   0.00269         0      0.99
  712              0      0.01     0.700       169   0.00175         0      0.99
  713              0      0.01     0.702       178    0.0015         0      0.99
  714              0      0.01     0.702       300   0.00351         0      0.99
  715              0      0.01     0.701        50   0.00166         0      0.99
  721              0      0.01     0.702       400   0.00131         0      0.99
  722              0      0.01     0.702       210    0.0018         0      0.99
  723              0      0.01     0.702       160   0.00217         0      0.99
  725              0      0.01     0.702        69   0.00159         0      0.99
  731              0      0.01     0.290       400   0.00215         0      0.99
  732              0      0.01     0.290       166   0.00246         0      0.99
  733              0      0.01     0.290       234   0.00227         0      0.99
  734              0      0.01     0.290       300   0.00559         0      0.99
  735              0      0.01     0.290        60   0.00281         0      0.99
  741              0      0.01     0.296       400   0.00613         0      0.99
  742              0      0.01     0.290       176   0.00221         0      0.99
  743              0      0.01     0.290       187   0.00263         0      0.99
  744              0      0.01     0.293       267   0.00311         0      0.99
  745              0      0.01     0.289        55   0.00206         0      0.99
  751              0      0.01     0.984       400   0.00101         0      0.99
  752              0      0.01     0.982       181    0.0014         0      0.99
  753              0      0.01     1.006       186   0.00238         0      0.99
  754              0      0.01     1.009       100   0.00162         0      0.99
  755              0      0.01     0.996        49   0.00232         0      0.99
  761              0      0.01     1.702       400   0.00105         0      0.99
  762              0      0.01     1.875       184   0.00097         0      0.99
  763              0      0.01     1.844       180   0.00056         0      0.99
  765              0      0.01     1.862        45   0.00083         0      0.99
  771              0      0.01     1.863       400   0.00152         0      0.99
  772              0      0.01     1.817       163   0.00194         0      0.99
  773              0      0.01     1.840       160   0.00076         0      0.99
  774              0      0.01     1.752       300   0.00057         0      0.99
  775              0      0.01     1.794        48   0.00151         0      0.99
  781              0      0.01     0.628       400    0.0011         0      0.99
  782              0      0.01     0.573       160   0.00113         0      0.99
  783              0      0.01     0.642       160   0.00135         0      0.99
  785              0      0.01     0.629        55   0.00132         0      0.99
  791              0      0.01     0.684       400   0.00043         0      0.99
  792              0      0.01     0.627       178   0.00095         0      0.99
  793              0      0.01     0.618       160   0.00101         0      0.99
  794              0      0.01     0.649       133   0.00131         0      0.99
  795              0      0.01     0.601        49   0.00098         0      0.99
  801              0      0.01     0.638       400   0.00066         0      0.99
  802              0      0.01     0.666       174   0.00133         0      0.99
  803              0      0.01     0.614       160   0.00088         0      0.99
  805              0      0.01     0.605        53   0.00117         0      0.99
***</IHM_PWAT_PARM2>

  END PWAT-PARM2
