  PWAT-PARM2
*** < PLS>    FOREST      LZSN    INFILT      LSUR     SLSUR     KVARY     AGWRC
*** x  - x                (in)   (in/hr)      (ft)              (1/in)   (1/day)
***<IHM_PWAT_PARM2>
  252              0      0.01     1.087       197   0.00271         0      0.99
  253              0      0.01     0.973       204   0.00384         0      0.99
  254              0      0.01     1.108       300   0.00205         0      0.99
  255              0      0.01     1.093        65   0.00382         0      0.99
  261              0      0.01     0.607       400   0.00437         0      0.99
  262              0      0.01     0.643       163   0.00456         0      0.99
  263              0      0.01     0.607       160   0.00362         0      0.99
  264              0      0.01     0.650       300     0.003         0      0.99
  265              0      0.01     0.641        57   0.00468         0      0.99
  271              0      0.01     0.650       400   0.00549         0      0.99
  272              0      0.01     0.647       162   0.00539         0      0.99
  273              0      0.01     0.641       160   0.00702         0      0.99
  274              0      0.01     0.650       100   0.00359         0      0.99
  275              0      0.01     0.626        56   0.00538         0      0.99
  281              0      0.01     0.632       400   0.00593         0      0.99
  282              0      0.01     0.632       164   0.00642         0      0.99
  283              0      0.01     0.631       162   0.00539         0      0.99
  284              0      0.01     0.619       133   0.00548         0      0.99
  285              0      0.01     0.619        45   0.00526         0      0.99
  291              0      0.01     0.650       400   0.00481         0      0.99
  292              0      0.01     0.648       160   0.00353         0      0.99
  293              0      0.01     0.636       160   0.00548         0      0.99
  295              0      0.01     0.639        47   0.00398         0      0.99
  311              0      0.01     0.617       400   0.00181         0      0.99
  312              0      0.01     0.632       160   0.00433         0      0.99
  313              0      0.01     0.599       166    0.0025         0      0.99
  315              0      0.01     0.617        42   0.00347         0      0.99
  321              0      0.01     0.644       400   0.00492         0      0.99
  322              0      0.01     0.606       160   0.00639         0      0.99
  323              0      0.01     0.618       161   0.00408         0      0.99
  325              0      0.01     0.614        43   0.00349         0      0.99
  331              0      0.01     0.635       400   0.00221         0      0.99
  332              0      0.01     0.607       160   0.00247         0      0.99
  333              0      0.01     0.601       160    0.0023         0      0.99
  334              0      0.01     0.612       177   0.00189         0      0.99
  335              0      0.01     0.601        52    0.0022         0      0.99
  341              0      0.01     3.019       400   0.00633         0      0.99
  342              0      0.01     2.998       161   0.00552         0      0.99
  343              0      0.01     3.208       233   0.00819         0      0.99
  344              0      0.01     2.963       109   0.00595         0      0.99
  345              0      0.01     3.145        70   0.00633         0      0.99
  351              0      0.01     2.777       400   0.00357         0      0.99
  352              0      0.01     2.395       163   0.00238         0      0.99
  353              0      0.01     2.956       161   0.00383         0      0.99
  354              0      0.01     2.487       300    0.0014         0      0.99
  355              0      0.01     2.900        66   0.00403         0      0.99
  361              0      0.01     3.250       400   0.00538         0      0.99
  362              0      0.01     3.250       162   0.00422         0      0.99
  363              0      0.01     3.250       166   0.00501         0      0.99
  365              0      0.01     3.237        58   0.00501         0      0.99
  371              0      0.01     3.288       400   0.00529         0      0.99
  372              0      0.01     3.254       162    0.0032         0      0.99
  373              0      0.01     3.250       113   0.00264         0      0.99
  374              0      0.01     3.250       300   0.00728         0      0.99
  375              0      0.01     3.291        46   0.00338         0      0.99
  381              0      0.01     2.792       400   0.00392         0      0.99
  382              0      0.01     2.975       162   0.00385         0      0.99
  383              0      0.01     3.228       172   0.00329         0      0.99
  385              0      0.01     3.071        48    0.0037         0      0.99
  391              0      0.01     3.330       400   0.00385         0      0.99
  392              0      0.01     3.254       162    0.0026         0      0.99
  393              0      0.01     3.423       175   0.00289         0      0.99
  394              0      0.01     3.250       300   0.01518         0      0.99
  395              0      0.01     3.230        51   0.00308         0      0.99
  401              0      0.01     1.734       400   0.00539         0      0.99
  402              0      0.01     1.733       163   0.00365         0      0.99
  403              0      0.01     1.734       226   0.00591         0      0.99
  405              0      0.01     1.718        53     0.005         0      0.99
  411              0      0.01     1.740       400   0.00189         0      0.99
  412              0      0.01     1.586       178   0.00143         0      0.99
  413              0      0.01     1.734       240   0.00549         0      0.99
  414              0      0.01     1.450       300   0.00148         0      0.99
  415              0      0.01     1.640        57   0.00187         0      0.99
  421              0      0.01     1.734       400   0.00105         0      0.99
  422              0      0.01     1.725       172   0.00112         0      0.99
  423              0      0.01     1.730       146   0.00105         0      0.99
  424              0      0.01     1.170       105   0.00079         0      0.99
  425              0      0.01     1.713        60   0.00155         0      0.99
  501              0      0.01     0.705       400   0.00402         0      0.99
  502              0      0.01     0.704       161   0.00296         0      0.99
  503              0      0.01     0.660       156   0.00369         0      0.99
  504              0      0.01     0.714       299   0.00281         0      0.99
  505              0      0.01     0.688        73   0.00367         0      0.99
  711              0      0.01     1.300       400   0.00119         0      0.99
  712              0      0.01     1.300       166    0.0011         0      0.99
  713              0      0.01     1.300        80   0.00099         0      0.99
  811              0      0.01     0.711       400   0.00248         0      0.99
  812              0      0.01     0.720       161   0.00316         0      0.99
  813              0      0.01     0.712       198   0.00361         0      0.99
  814              0      0.01     0.727       300   0.00208         0      0.99
  815              0      0.01     0.714        69   0.00271         0      0.99
  821              0      0.01     3.930       400    0.0016         0      0.99
  822              0      0.01     4.434       202    0.0013         0      0.99
  823              0      0.01     4.533       100    0.0021         0      0.99
  824              0      0.01     4.300       187   0.00147         0      0.99
  825              0      0.01     4.260        76   0.00204         0      0.99
  831              0      0.01     4.455       400   0.01111         0      0.99
  832              0      0.01     4.510       164   0.00762         0      0.99
  833              0      0.01     4.546       215   0.01161         0      0.99
  834              0      0.01     4.633       214   0.00593         0      0.99
  835              0      0.01     4.506        62   0.00568         0      0.99
  841              0      0.01     3.109       400   0.00305         0      0.99
  842              0      0.01     3.182       165   0.00303         0      0.99
  843              0      0.01     3.109       163   0.00473         0      0.99
  844              0      0.01     2.930       106   0.00222         0      0.99
  845              0      0.01     3.131        57   0.00437         0      0.99
  851              0      0.01     2.863       400   0.00346         0      0.99
  852              0      0.01     3.234       163   0.00319         0      0.99
  853              0      0.01     3.244       211   0.00974         0      0.99
  854              0      0.01     3.249       300   0.00756         0      0.99
  855              0      0.01     3.237        68   0.00427         0      0.99
