  SCHEMATIC
<-Volume->                  <--Area-->     <-Volume->  <ML#> ***       <sb>
<Name>   x                  <-factor->     <Name>   x        ***        x x
*** Each COPY operation holds the inflow for up to 10 reaches.  For example,
*** COPY 80 members 1-10 hold the data for reaches 80-89, so the member
*** subscript is one more than the ones digit of the reach number.  All of
*** the COPY outputs are written to the transfer WDM file, with the dataset
*** number matching the reach number.  The transfers are all in acre-feet/day.

*** In the MASS-LINK table number, the tens digit matches the reach number,
*** while the ones digit indicates PERLND (1) or IMPLND (2).
***<IHM_SCHEMATIC>
PERLND 421                    1039.427     COPY   340     21
PERLND 422                    1614.306     COPY    40     21
PERLND 422                    4662.228     COPY   340     21
PERLND 423                      45.935     COPY    40     21
PERLND 423                     132.662     COPY   340     21
PERLND 425                     147.900     COPY    40     21
PERLND 425                     427.145     COPY   340     21
PERLND 431                     877.418     COPY    40     31
PERLND 431                    1174.504     COPY   340     31
PERLND 432                     638.873     COPY    40     31
PERLND 432                     855.190     COPY   340     31
PERLND 434                       3.529     COPY    40     31
PERLND 434                       4.724     COPY   340     31
PERLND 435                       5.155     COPY    40     31
PERLND 435                       6.900     COPY   340     31
PERLND 441                     189.403     COPY    40     41
PERLND 441                     185.662     COPY   340     41
PERLND 442                     816.351     COPY    40     41
PERLND 442                     800.228     COPY   340     41
PERLND 444                      62.459     COPY    40     41
PERLND 444                      61.226     COPY   340     41
PERLND 445                      65.454     COPY    40     41
PERLND 445                      64.161     COPY   340     41
PERLND 451                      85.127     COPY    40     51
PERLND 451                     218.694     COPY   210     51
PERLND 451                    1238.019     COPY   340     51
PERLND 452                      66.013     COPY    40     51
PERLND 452                     169.591     COPY   210     51
PERLND 452                     960.048     COPY   340     51
PERLND 455                        .275     COPY    40     51
PERLND 455                        .707     COPY   210     51
PERLND 455                       4.002     COPY   340     51
PERLND 461                       9.626     COPY    40     61
PERLND 461                      18.325     COPY   340     61
PERLND 462                     173.480     COPY    40     61
PERLND 462                     330.278     COPY   340     61
PERLND 463                      23.232     COPY    40     61
PERLND 463                      44.229     COPY   340     61
PERLND 464                       8.293     COPY    40     61
PERLND 464                      15.789     COPY   340     61
PERLND 465                     184.324     COPY    40     61
PERLND 465                     350.923     COPY   340     61
PERLND 471                      63.365     COPY    40     71
PERLND 471                     215.426     COPY   210     41
PERLND 471                     408.850     COPY   340     71
PERLND 472                     136.956     COPY    40     71
PERLND 472                     465.620     COPY   210     41
PERLND 472                     883.689     COPY   340     71
PERLND 473                       1.593     COPY    40     71
PERLND 473                       5.416     COPY   210     41
PERLND 473                      10.279     COPY   340     71
PERLND 474                        .768     COPY    40     71
PERLND 474                       2.612     COPY   210     41
PERLND 474                       4.957     COPY   340     71
PERLND 475                      11.071     COPY    40     71
PERLND 475                      37.639     COPY   210     41
PERLND 475                      71.434     COPY   340     71
PERLND 481                      84.709     COPY    40     81
PERLND 481                      51.151     COPY   210     61
PERLND 481                     495.394     COPY   340     81
PERLND 482                     137.200     COPY    40     81
PERLND 482                      82.846     COPY   210     61
PERLND 482                     802.366     COPY   340     81
PERLND 483                        .275     COPY    40     81
PERLND 483                        .166     COPY   210     61
PERLND 483                       1.611     COPY   340     81
PERLND 484                      17.470     COPY    40     81
PERLND 484                      10.549     COPY   210     61
PERLND 484                     102.170     COPY   340     81
PERLND 485                       9.719     COPY    40     81
PERLND 485                       5.869     COPY   210     61
PERLND 485                      56.837     COPY   340     81
PERLND 491                       9.943     COPY    40     91
PERLND 491                      91.063     COPY   210     71
PERLND 491                     596.445     COPY   340     91
PERLND 492                      17.185     COPY    40     91
PERLND 492                     157.397     COPY   210     71
PERLND 492                    1030.917     COPY   340     91
PERLND 493                       2.410     COPY    40     91
PERLND 493                      22.071     COPY   210     71
PERLND 493                     144.562     COPY   340     91
PERLND 494                        .354     COPY    40     91
PERLND 494                       3.241     COPY   210     71
PERLND 494                      21.225     COPY   340     91
PERLND 495                       6.786     COPY    40     91
PERLND 495                      62.152     COPY   210     71
PERLND 495                     407.084     COPY   340     91
PERLND 501                      34.689     COPY    50      1
PERLND 501                     131.019     COPY   350      1
PERLND 502                     750.214     COPY    50      1
PERLND 502                    2833.527     COPY   350      1
PERLND 503                      15.991     COPY    50      1
PERLND 503                      60.398     COPY   350      1
PERLND 504                      12.100     COPY    50      1
PERLND 504                      45.703     COPY   350      1
PERLND 505                     217.960     COPY    50      1
PERLND 505                     823.225     COPY   350      1
PERLND 511                     104.608     COPY    50     11
PERLND 511                      17.238     COPY   210     91
PERLND 511                     857.101     COPY   350     11
PERLND 512                     234.210     COPY    50     11
PERLND 512                      38.595     COPY   210     91
PERLND 512                    1918.980     COPY   350     11
PERLND 513                      57.663     COPY    50     11
PERLND 513                       9.502     COPY   210     91
PERLND 513                     472.455     COPY   350     11
PERLND 515                      71.805     COPY    50     11
PERLND 515                      11.833     COPY   210     91
PERLND 515                     588.327     COPY   350     11
PERLND 521                     215.365     COPY    50     21
PERLND 521                     107.803     COPY   210     81
PERLND 521                     214.723     COPY   210     91
PERLND 521                     652.541     COPY   350     21
PERLND 522                     307.183     COPY    50     21
PERLND 522                     153.763     COPY   210     81
PERLND 522                     306.268     COPY   210     91
PERLND 522                     930.743     COPY   350     21
PERLND 523                      77.799     COPY    50     21
PERLND 523                      38.943     COPY   210     81
PERLND 523                      77.567     COPY   210     91
PERLND 523                     235.724     COPY   350     21
PERLND 524                      15.448     COPY    50     21
PERLND 524                       7.733     COPY   210     81
PERLND 524                      15.402     COPY   210     91
PERLND 524                      46.807     COPY   350     21
PERLND 525                     830.326     COPY    50     21
PERLND 525                     415.627     COPY   210     81
PERLND 525                     827.851     COPY   210     91
PERLND 525                    2515.826     COPY   350     21
PERLND 531                     236.689     COPY    50     31
PERLND 531                     264.423     COPY   350     31
PERLND 532                     111.605     COPY    50     31
PERLND 532                     124.683     COPY   350     31
PERLND 533                     307.144     COPY    50     31
PERLND 533                     343.134     COPY   350     31
PERLND 534                      16.479     COPY    50     31
PERLND 534                      18.410     COPY   350     31
PERLND 535                    1376.510     COPY    50     31
PERLND 535                    1537.803     COPY   350     31
PERLND 541                     259.994     COPY    50     41
PERLND 541                     403.380     COPY   350     41
PERLND 542                     387.420     COPY    50     41
PERLND 542                     601.080     COPY   350     41
PERLND 543                      75.787     COPY    50     41
PERLND 543                     117.583     COPY   350     41
PERLND 544                       1.404     COPY    50     41
PERLND 544                       2.178     COPY   350     41
PERLND 545                     141.700     COPY    50     41
PERLND 545                     219.848     COPY   350     41
PERLND 551                     125.802     COPY    50     51
PERLND 551                      93.518     COPY   220      1
PERLND 551                     478.720     COPY   350     51
PERLND 552                     496.123     COPY    50     51
PERLND 552                     368.804     COPY   220      1
PERLND 552                    1887.913     COPY   350     51
PERLND 553                     304.222     COPY    50     51
PERLND 553                     226.151     COPY   220      1
PERLND 553                    1157.667     COPY   350     51
PERLND 554                      13.865     COPY    50     51
PERLND 554                      10.307     COPY   220      1
PERLND 554                      52.760     COPY   350     51
PERLND 555                     368.046     COPY    50     51
PERLND 555                     273.596     COPY   220      1
PERLND 555                    1400.539     COPY   350     51
PERLND 561                     281.730     COPY    50     61
PERLND 561                     641.940     COPY   350     61
PERLND 562                      47.224     COPY    50     61
PERLND 562                     107.603     COPY   350     61
PERLND 563                      92.291     COPY    50     61
PERLND 563                     210.290     COPY   350     61
PERLND 565                     232.636     COPY    50     61
PERLND 565                     530.074     COPY   350     61
PERLND 571                     213.974     COPY    50     71
PERLND 571                     216.685     COPY   220     11
PERLND 571                     636.128     COPY   350     71
PERLND 572                     253.663     COPY    50     71
PERLND 572                     256.878     COPY   220     11
PERLND 572                     754.123     COPY   350     71
PERLND 573                      34.680     COPY    50     71
PERLND 573                      35.120     COPY   220     11
PERLND 573                     103.101     COPY   350     71
PERLND 574                       8.819     COPY    50     71
PERLND 574                       8.931     COPY   220     11
PERLND 574                      26.217     COPY   350     71
PERLND 575                     226.776     COPY    50     71
PERLND 575                     229.650     COPY   220     11
PERLND 575                     674.188     COPY   350     71
PERLND 581                     101.698     COPY    50     81
PERLND 581                      24.487     COPY   220     21
PERLND 581                        .440     COPY   220     31
PERLND 581                     227.084     COPY   350     81
PERLND 582                     197.781     COPY    50     81
PERLND 582                      47.622     COPY   220     21
PERLND 582                        .856     COPY   220     31
PERLND 582                     441.630     COPY   350     81
PERLND 583                     125.937     COPY    50     81
PERLND 583                      30.323     COPY   220     21
PERLND 583                        .545     COPY   220     31
PERLND 583                     281.209     COPY   350     81
PERLND 585                     763.453     COPY    50     81
PERLND 585                     183.826     COPY   220     21
PERLND 585                       3.304     COPY   220     31
PERLND 585                    1704.734     COPY   350     81
PERLND 591                      12.095     COPY    50     91
PERLND 591                       6.766     COPY   220     31
PERLND 591                     128.901     COPY   350     91
PERLND 592                      10.077     COPY    50     91
PERLND 592                       5.637     COPY   220     31
PERLND 592                     107.397     COPY   350     91
PERLND 593                       6.755     COPY    50     91
PERLND 593                       3.779     COPY   220     31
PERLND 593                      71.991     COPY   350     91
PERLND 595                     114.409     COPY    50     91
PERLND 595                      64.000     COPY   220     31
PERLND 595                    1219.306     COPY   350     91
PERLND 601                      56.802     COPY    60      1
PERLND 601                       6.395     COPY   220     31
PERLND 601                     260.980     COPY   360      1
PERLND 602                      66.481     COPY    60      1
PERLND 602                       7.485     COPY   220     31
PERLND 602                     305.448     COPY   360      1
PERLND 603                      73.626     COPY    60      1
PERLND 603                       8.289     COPY   220     31
PERLND 603                     338.279     COPY   360      1
PERLND 604                       1.763     COPY    60      1
PERLND 604                        .198     COPY   220     31
PERLND 604                       8.100     COPY   360      1
PERLND 605                     489.602     COPY    60      1
PERLND 605                      55.123     COPY   220     31
PERLND 605                    2249.495     COPY   360      1
PERLND 611                      90.501     COPY    60     11
PERLND 611                     198.696     COPY   360     11
PERLND 612                      41.858     COPY    60     11
PERLND 612                      91.898     COPY   360     11
PERLND 613                     110.429     COPY    60     11
PERLND 613                     242.447     COPY   360     11
PERLND 614                        .124     COPY    60     11
PERLND 614                        .271     COPY   360     11
PERLND 615                    1307.100     COPY    60     11
PERLND 615                    2869.743     COPY   360     11
PERLND 621                     416.951     COPY    60     21
PERLND 621                     499.722     COPY   360     21
PERLND 622                     211.483     COPY    60     21
PERLND 622                     253.465     COPY   360     21
PERLND 623                     937.427     COPY    60     21
PERLND 623                    1123.521     COPY   360     21
PERLND 624                      85.947     COPY    60     21
PERLND 624                     103.009     COPY   360     21
PERLND 625                    5828.530     COPY    60     21
PERLND 625                    6985.586     COPY   360     21
PERLND 631                     170.458     COPY    60     31
PERLND 631                     411.736     COPY   360     31
PERLND 632                     136.132     COPY    60     31
PERLND 632                     328.822     COPY   360     31
PERLND 633                     128.441     COPY    60     31
PERLND 633                     310.244     COPY   360     31
PERLND 634                       4.916     COPY    60     31
PERLND 634                      11.875     COPY   360     31
PERLND 635                    2193.261     COPY    60     31
PERLND 635                    5297.752     COPY   360     31
PERLND 641                     368.921     COPY    60     41
PERLND 641                     528.945     COPY   360     41
PERLND 642                     457.898     COPY    60     41
PERLND 642                     656.516     COPY   360     41
PERLND 643                     745.424     COPY    60     41
PERLND 643                    1068.760     COPY   360     41
PERLND 644                      45.296     COPY    60     41
PERLND 644                      64.944     COPY   360     41
PERLND 645                    8982.075     COPY    60     41
PERLND 645                   12878.158     COPY   360     41
PERLND 651                     394.746     COPY    60     51
PERLND 651                    1062.309     COPY   360     51
PERLND 652                     216.363     COPY    60     51
PERLND 652                     582.260     COPY   360     51
PERLND 653                     294.319     COPY    60     51
PERLND 653                     792.049     COPY   360     51
PERLND 654                      23.831     COPY    60     51
PERLND 654                      64.131     COPY   360     51
PERLND 655                    2173.491     COPY    60     51
PERLND 655                    5849.133     COPY   360     51
PERLND 661                     163.009     COPY    60     61
PERLND 661                      92.717     COPY   360     61
PERLND 662                     188.369     COPY    60     61
PERLND 662                     107.141     COPY   360     61
PERLND 663                     721.805     COPY    60     61
PERLND 663                     410.550     COPY   360     61
PERLND 664                       1.255     COPY    60     61
PERLND 664                        .714     COPY   360     61
PERLND 665                    5983.333     COPY    60     61
PERLND 665                    3403.217     COPY   360     61
PERLND 671                      34.379     COPY    60     71
PERLND 671                        .684     COPY   220     41
PERLND 671                     242.224     COPY   360     71
PERLND 672                      91.634     COPY    60     71
PERLND 672                       1.824     COPY   220     41
PERLND 672                     645.620     COPY   360     71
PERLND 673                      26.107     COPY    60     71
PERLND 673                        .520     COPY   220     41
PERLND 673                     183.939     COPY   360     71
PERLND 674                       3.834     COPY    60     71
PERLND 674                        .076     COPY   220     41
PERLND 674                      27.015     COPY   360     71
