  SCHEMATIC
<-Volume->                  <--Area-->     <-Volume->  <ML#> ***       <sb>
<Name>   x                  <-factor->     <Name>   x        ***        x x
*** Each COPY operation holds the inflow for up to 10 reaches.  For example,
*** COPY 80 members 1-10 hold the data for reaches 80-89, so the member
*** subscript is one more than the ones digit of the reach number.  All of
*** the COPY outputs are written to the transfer WDM file, with the dataset
*** number matching the reach number.  The transfers are all in acre-feet/day.

*** In the MASS-LINK table number, the tens digit matches the reach number,
*** while the ones digit indicates PERLND (1) or IMPLND (2).
***<IHM_SCHEMATIC>
IMPLND 421                     119.171     COPY   340     22
IMPLND 431                       1.698     COPY    40     32
IMPLND 431                       2.273     COPY   340     32
IMPLND 441                      19.020     COPY    40     42
IMPLND 441                      18.645     COPY   340     42
IMPLND 451                        .293     COPY    40     52
IMPLND 451                        .754     COPY   210     52
IMPLND 451                       4.267     COPY   340     52
IMPLND 461                      56.499     COPY    40     62
IMPLND 461                     107.565     COPY   340     62
IMPLND 471                       2.263     COPY    40     72
IMPLND 471                       7.695     COPY   210     42
IMPLND 471                      14.603     COPY   340     72
IMPLND 481                      14.955     COPY    40     82
IMPLND 481                       9.031     COPY   210     62
IMPLND 481                      87.461     COPY   340     82
IMPLND 491                       2.929     COPY    40     92
IMPLND 491                      26.830     COPY   210     72
IMPLND 491                     175.734     COPY   340     92
IMPLND 501                     101.542     COPY    50      2
IMPLND 501                     383.518     COPY   350      2
IMPLND 511                      19.283     COPY    50     12
IMPLND 511                       3.178     COPY   210     92
IMPLND 511                     157.992     COPY   350     12
IMPLND 521                     458.768     COPY    50     22
IMPLND 521                     229.640     COPY   210     82
IMPLND 521                     457.401     COPY   210     92
IMPLND 521                    1390.034     COPY   350     22
IMPLND 531                     561.740     COPY    50     32
IMPLND 531                     627.562     COPY   350     32
IMPLND 541                      28.585     COPY    50     42
IMPLND 541                      44.349     COPY   350     42
IMPLND 551                      72.976     COPY    50     52
IMPLND 551                      54.249     COPY   220      2
IMPLND 551                     277.700     COPY   350     52
IMPLND 561                      73.121     COPY    50     62
IMPLND 561                     166.610     COPY   350     62
IMPLND 571                      55.044     COPY    50     72
IMPLND 571                      55.742     COPY   220     12
IMPLND 571                     163.642     COPY   350     72
IMPLND 581                     283.914     COPY    50     82
IMPLND 581                      68.361     COPY   220     22
IMPLND 581                       1.229     COPY   220     32
IMPLND 581                     633.959     COPY   350     82
IMPLND 591                      62.728     COPY    50     92
IMPLND 591                      35.090     COPY   220     32
IMPLND 591                     668.518     COPY   350     92
IMPLND 601                     217.498     COPY    60      2
IMPLND 601                      24.488     COPY   220     32
IMPLND 601                     999.301     COPY   360      2
IMPLND 611                     667.994     COPY    60     12
IMPLND 611                    1466.584     COPY   360     12
IMPLND 621                    3273.321     COPY    60     22
IMPLND 621                    3923.128     COPY   360     22
IMPLND 631                    1276.862     COPY    60     32
IMPLND 631                    3084.218     COPY   360     32
IMPLND 641                    5599.312     COPY    60     42
IMPLND 641                    8028.080     COPY   360     42
IMPLND 651                    1749.863     COPY    60     52
IMPLND 651                    4709.099     COPY   360     52
IMPLND 661                    3460.275     COPY    60     62
IMPLND 661                    1968.145     COPY   360     62
IMPLND 671                      11.435     COPY    60     72
IMPLND 671                        .228     COPY   220     42
IMPLND 671                      80.565     COPY   360     72
IMPLND 681                     269.762     COPY    60     82
IMPLND 681                      47.676     COPY   220     42
IMPLND 681                     493.714     COPY   360     82
IMPLND 691                     244.887     COPY    60     92
IMPLND 691                     586.943     COPY   360     92
IMPLND 701                     115.543     COPY    70      2
IMPLND 701                     738.405     COPY   370      2
IMPLND 711                     244.706     COPY    70     12
IMPLND 711                     168.883     COPY   220     52
IMPLND 711                     753.755     COPY   370     12
IMPLND 721                      15.795     COPY    70     22
IMPLND 721                      21.995     COPY   370     22
IMPLND 731                     222.410     COPY    70     32
IMPLND 731                     437.816     COPY   370     32
IMPLND 741                     135.303     COPY    70     42
IMPLND 741                      94.141     COPY   220     62
IMPLND 741                     520.925     COPY   370     42
IMPLND 751                     478.140     COPY    70     52
IMPLND 751                     152.214     COPY   220     82
IMPLND 751                      55.357     COPY   220     92
IMPLND 751                    1380.937     COPY   370     52
IMPLND 761                     335.393     COPY    70     62
IMPLND 761                     315.477     COPY   220     72
IMPLND 761                     108.665     COPY   230      2
IMPLND 761                     588.759     COPY   370     62
IMPLND 771                     739.770     COPY    70     72
IMPLND 771                    1736.852     COPY   370     72
IMPLND 781                     884.617     COPY    70     82
IMPLND 781                    1272.929     COPY   370     82
IMPLND 791                    1249.255     COPY    70     92
IMPLND 791                    1932.463     COPY   370     92
IMPLND 801                     942.859     COPY    80      2
IMPLND 801                    1653.175     COPY   380      2
***</IHM_SCHEMATIC>

  END SCHEMATIC
