  MON-INTERCEP
*** <PLS >  Interception storage capacity at start of each month (in)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
***<IHM_MON_INTERCEP>
  123     0.0130.0260.0380.0680.0680.0680.0680.0680.0680.0680.0380.026
  124     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  125     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  131     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  132     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  133     0.0110.0220.0320.0580.0580.0580.0580.0580.0580.0580.0320.022
  134     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  135     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  141     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  142     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  143     0.0130.0260.0390.0690.0690.0690.0690.0690.0690.0690.0390.026
  144     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  145     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  151     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  152     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  153     0.0140.0280.0420.0740.0740.0740.0740.0740.0740.0740.0420.028
  154     0.0110.0210.0320.0570.0570.0570.0570.0570.0570.0570.0320.021
  155     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  161     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  162     0.0100.0200.0290.0520.0520.0520.0520.0520.0520.0520.0290.020
  163     0.0110.0220.0330.0580.0580.0580.0580.0580.0580.0580.0330.022
  164     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  165     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  171     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  172     0.0090.0190.0280.0510.0510.0510.0510.0510.0510.0510.0280.019
  173     0.0140.0270.0410.0720.0720.0720.0720.0720.0720.0720.0410.027
  174     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  175     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  181     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  182     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  183     0.0140.0280.0420.0750.0750.0750.0750.0750.0750.0750.0420.028
  184     0.0090.0170.0260.0450.0450.0450.0450.0450.0450.0450.0260.017
  185     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  191     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  192     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  193     0.0140.0270.0410.0730.0730.0730.0730.0730.0730.0730.0410.027
  194     0.0090.0180.0280.0490.0490.0490.0490.0490.0490.0490.0280.018
  195     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  201     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
